content,username,Sentiment
"Fast X Akhirnya Gantung Syekali Wkwkwk.. Kudu Nonton Yg ke XI inimah, See You In 2025📌 Film Favv Doi.. Akumah Ngikut Aja Wkwkwk.. Biasanya Kalo Ke Bioskop, Film Kemauan Aku Semua🤣 

#FastX #TheGoodBadMotherEp12 #Rafathar #RANS #KimSeonHoInJKT #umur23 #Jisoo #Pelan https://t.co/x8GoDWKAMz",ci_enci23,negative
"Ganjar Cek Jalan Rusak Kini Jadi Mulus di Batang, Diharapkan Akan Ada Pertumbuhan Ekonomi Ketika Infrastrukturnya Baik

Hotel Ruben Rest in Peace Rafathar Rp 1 Army jeon wonwoo SMAN 21 Bandung Sam Smith jungkook Lana Del Rey troye Bali Cannes Film Festival Kourtney KDRT MomoGi https://t.co/wRIIzbXyIH",asma_syva,positive
"Rest in Peace Army Ruben Cannes Film Festival JEON WONWOO Rafathar Welcome to Jakarta jungkook KDRT Bali Hotel Lana Del Rey Bluebird do not go to the airport troye
#AgustD_SUGA_Tour_in_Jakarta
#Jisoo
#TheGoodBadMotherEp9
#ROSÉ https://t.co/ooX22B0Gn5",BhanurasmiP74,negative
"@moviemenfes halah paling jg ky film rafathar.. budget nya jg gede kok, klo ga bisa bikin mah mau 100m jg hasilnya jelek",No010oB,negative
@moviemenfes Film Indonesia yg sangat sukses tentu saja Rafathar dan Ashiap Man,ari_kurni88,positive
"Maaf ya fans rafathar/gigi/raffi. Gue cuma mo bilang kalo film tuh ada baiknya pake tokoh baru, bukan menjadi orang asli. supaya plotnya ga maksa, karakternya bisa bebas putih-abu-hitam, jadinya ada warna",bumikoksegitiga,positive
"Keren Film RANS Ent, gak kalah ama Baby Boss, Upin-ipin, Boboboy. Semoga sinyal kebangkitan perfilm Indonesia.

Initial R, Raffi Nagita Aa Rafathar Rayyanza Cipung https://t.co/3y1F74OPya",mindaart,positive
"Rafathar W
maafin aku pernah ngehina film kamu, tapi emang filmnya jelek",GhostPanels,negative
@tanyakanrl Gila keren keren banget anj 😭 film rafathar aje kalah,SayaBukanJamal,positive
"liat di tiktok orang review film pas credit scene komennya ""kecewa film 3 jam ga ada raffi, rafathar, gigi"" pas bagian produced by ""james cameron""

bangke avatar maksudnya.",gfrx_,negative
"TRANS7: Liburan asik tuhh wajib ada: stok cemilan favorit, mode silent di HP dan film-film keren dari TRANS7! Setuju?? 😜

✅ Rafathar the Movie jam 07.30 WIB
✅ WARKOP DKI: Pencet Sana Pencet Sini jam 20.15 WIB
✅ Heart of the Dragon jam 22.45 WIB https://t.co/vzbANRJqyX",Media_linked,positive
"Liburan asik tuhh wajib ada: stok cemilan favorit, mode silent di HP dan film-film keren dari TRANS7! Setuju?? 😜

✅ Rafathar the Movie jam 07.30 WIB
✅ WARKOP DKI: Pencet Sana Pencet Sini jam 20.15 WIB
✅ Heart of the Dragon jam 22.45 WIB https://t.co/JScwrusPaB",TRANS7,positive
Seru banget film rafathar https://t.co/IBap0BKM8E,AIKO04318987,positive
@moviemenfes Bagus mana sama ashiap man dan film nya rafathar?,incrediblehaluk,positive
"@TarizSolis Ngecek di imdb ratingnya cuma 3.6/10 😭 masih lebih baik dibanding filmnya rafathar (1,4/10).

Gusti film opo koyok ngene iki 😭",ahmatnk,positive
"wuah, setauku sejauh ini film indo yg banyak pake cgi itu filmnya rafathar, biaya produksinya mahal dan hasilnya nda bagus, ini kalo nda pake cgi mau syuting langsung di neraka?",marliwp_,positive
@WatchmenID lah kok bagusan ini drpd film rafathar wkwk,sittsay,positive
"Keren! Raffi Ahmat Gaet 300 Animator untuk Produksi Film Animasi Rafathar

Baca selengkapnya disini!
https://t.co/3W0lHfLZ1a

#MataIndonesia #raffiahmad #animatordilm #produksifilm #animasirafathar",matamilenialID,positive
"Keren! Raffi Ahmad dan Anang Hermansyah Bakal Bikin Film untuk Rafathar dan Arsy

#CelebritiesDotID #InfoCelebTerkini 
https://t.co/L6IzFER38S",celebviral_,positive
"Banyak Memiliki Kepribadian, Simak Penjelasan Penyakit Kepribadian Ganda (DID) dari Film Split 

film thriller
Malam
Rafathar
#EveEp15
#gempa
Dishub
Allahu Akbar
Joshua
Suneo
https://t.co/PIiBpFqwB3",Bersholawat_id,negative
"Yuk Kenalan dengan Pemeran Film Ngeri Ngeri Sedap, Wajib Tahu Sebelum Menonton! 

Indra Jegel
Tika Panggabean
Arswendi Nasution
Gita Bhebhita
film komedi Batak
Malam
Rafathar
#EveEp15
#gempa
Dishub
Allahu Akbar
Joshua
Suneo
https://t.co/HTjdvTOvqz",Bersholawat_id,positive
"Disangka Dukun Beneran, Inilah Pemeran Film The Medium: Dokumenter Horor Terbaik Thailand 

Film horor
Malam jumat
Rafathar
#EveEp15
#gempa
Dishub
Allahu Akbar
Joshua
Suneo
https://t.co/gKMmq28S3C",Bersholawat_id,positive
"SUMPAH INI LAST. gue sedih bgt woi nonton scene ini, berasa nonton adegan sedih di film genre family 😭😭😭 rafathar aq tw kamu anak baik 💕🥰 bismillah makin saleh #RafatharJadiUstadz 💪🏻💘 https://t.co/FL9yrJoXxN",ssfwithme,positive
Tidak pernah saya lihat film se jelek ini.. Rafathar the movie,dand8lion,negative
"pernah liat aja sih waktu itu Raffi Ahmad sma Nagita Slavina sma rafathar juga pas masih kecil
waktu promosi film mereka bareng artis lainnya kesini ada caesar sma siapa waktu itu

nagita asli cantik putih gitu baik ramah juga lh 
klu raffi nya udh duluan masuk ke bioskop",staryouswin,positive
"@CenayangFilm Lah keren bisa bikin efek-efek begitu

Ayo lanjutkan, bikin lagi film-film seperti ini

Film sci-fi atau fantasy yang terakhir saya tonton judulnya 'Rafathar'

Wow sekali lho",ajijanuar14,positive
"si Aa habis nonton film Batman.. gak seru katanya 😆😂😂
.
#rafathar #rafatharmalikahmad #raffinagita1717 #galleryrafathar https://t.co/a5zRAM305q",GalleryRafathar,positive
@moviemenfes Nonton film Rafathar buatan Raffi Ahmad. Gua merasa keren dan high taste banget sih klo ntn itu,muditalionggg,positive
"@CenayangFilm Film Rafathar (2017) keren 👌

[Spoiler alert] https://t.co/XjNPoUKmdX",constantane,positive
