content,username,Sentiment
"kenapa ya film horror sekarang kebanyakan lepas landas, 

Tulah dengan plot twist paling anjing, dan evil dead rise yang ternyata film manusia yang jiwa psikopat nya dibangunkan sama iblis dari neraka. 

ga heran suka mabok sama film horror begini.",aceextachy,positive
"@Kurakirikanan95 @HiHi69877572 Hahaha tulah. TKI dkt sini je dh berapa byk? Mcm kat Hong Kong. Sana kan byk TKI, jd bila film Indo box office kat situ tak pelik mana pun. Dorang je yg suka perasan “Indo mendoniaaaa”. Sampai claim #IndoWave dkt Malaysia.

IDIH IDIH SI NAJISSS. GELI WOI BACANYAAA😭✋",nijamjam99,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
"@moviemenfes Dilihat dari 4-6 film sebelum Sewu Dino aja udah kocak. Cakar monyet, Jin Qorin, Perjanjian Ghaib, Tulah 6/13, Pesugihan, Para Betina Pengikut Iblis. Semuanya film jelek. Katanya hobi nonton film horor lokal dan semua bagus, udah nonton film di atas belom? Coba review dong.",masterofsadboi,positive
@moviemenfes Dengan bilang film horror Indo bagus-bagus semua juga udah aneh. Lu pikir Roy Kiyoshi : The Untold Story bagus? Bisikan Jenazah bagus? Rumah Kentang bagus? Tulah 6/13 bagus? Sacred Riana bagus? Masih banyak lagi. Menyamaratakan kualitas film dengan dalih dukung film Indo? Lucu.,masterofsadboi,positive
"#UpdateFilm #InfoFilm -  Begini Sinopsis Tulah 6/13, Film Horor Terbaru Tayang 30 Maret 
Bioskop Indonesia kembali kedatangan film horor. Kini pada 30 Maret 2023, bioskop Indonesia akan diramaikan dengan film Tulah https://t.co/VvHIibbrbx #BeritaFilm",KamusFilm,positive
