content,Sentiment
"@moviemenfes mencuri raden saleh, 5 cm, aadc. my top 3",positive
"@lzrdy13 sekilas mirip sama yang main di mencuri raden saleh, siapa deh? aghniny haque ya?",positive
"@moviemenfes AADC
Catatan Akhir Sekolah
Alangkah Lucunya Negeri Ini
Merantau
The Raid 1
Tanda Tanya
Love For Sale 1
Warkop Reborn
Marlina Pembunuh 4 Babak
Mencuri Raden Saleh
Quickie Express",positive
@moviemenfes will proudly say MENCURI RADEN SALEH,positive
@moviemenfes 5 cm was good TERUS MENCURI RADEN SALEH i love the plot and the cinematigraphy,positive
"@moviemenfes MENCURI RADEN SALEH

sebelum nonton film itu akuu awalnya mikir palingan ni film b aja pasti gmpng ketebak alur ceritanya dan pas udah nonton aku ngerasa ini film wow bgtt acting pemainnya juga mendalami bgt",positive
"MENCURI RADEN SALEH MASIH JADI TOP NO 1 FILM INDO AKUUU, sama HANGOUT, karena ak suka cerita yg plot twist nya di luar nalar",positive
"@moviemenfes hati suhita
mencuri raden saleh
miracle in cell no 7
my idiot brother
rumah tanpa jendela
hafalan solat delisa
surat kecil untuk tuhan
tenggelamnya kapal ven der wijck
kehormatan dibalik kerudung
bumi dan manusia
until tommorow
22 menit",negative
"Janji Joni
Pengabdi Setan Original
Malam Satu Sura
Hari untuk Amanda
3 Hari untuk Selamanya
AADC
Cek Toko Sebelah
Aruna &amp; Lidahnya
Ziarah
Kulari ke Pantai
Mencuri Raden Saleh",positive
"@moviemenfes pertaruhan full movie
mencuri raden saleh
the big 4",positive
"@moviemenfes 5cm
mencuri raden saleh
imperfect
my idiot brother",negative
"@convomfs Mencuri raden saleh, ngeri-ngeri sedap, sunny, love for sale (season 1 sama 2), photocopier",positive
"Im not a cinephile and I saw a lot less movies than most ppl but i'd say 
mencuri raden saleh&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;",positive
#NAME?,negative
"mencuri raden saleh
cek toko sebelah
lovely man",positive
"Kira2 kenikmatan apa yg dimaksud? Yg bgini bakal rame nih!

Full Video
Al Ittihad
Fiorentina
Merinding
Ukraina
Liverpool
Mencuri Raden Saleh
#TegakLurus https://t.co/HQ7f5y1w8z",positive
"Tbh baru nonton mencuri raden saleh dan di bagian amanda bilang ""sayang, mobil aku rusaAk~"" yaampun melting bgt gue asli first crush gue",positive
"@moviemenfes Mencuri Raden Saleh
Penyalin Cahaya
Ngeri Ngeri Sedap

Best pokoknya 3 ini sksksk",positive
"@moviemenfes Ada top 5 versi akuuuu ya ini
1. Mencuri raden saleh
2. Noktah merah perkawinan
3. Imperfect
4. Hello ghost
5. Ayat-ayat cinta 2",positive
"@moviemenfes my top 7 Indonesian Film:
rumah dara
27 step of may
fiksi
penyalin cahaya
mencuri raden saleh
pintu terlarang
5 cm",positive
"@moviemenfes Petualangan sherina
Perahu kertas 1/2
Aadc 1/2
Tanda tanya
Cinta brontosaurus
Mencuri raden saleh
Wedding agreement
Gundala
Pengabdi setan 2
Aruna dan lidahnya
My idiot brother
Raksasa dari jogja
Rumah tanpa jendela
Strawberry suprise
Ketika tuhan jatuh cinta",negative
"@moviemenfes Petualangan sherina
Perahu kertas 1/2
Aadc 1/2
Tanda tanya
Cinta brontosaurus
Mencuri raden saleh
Wedding agreement
Gundala
Pengabdi setan 2
Aruna dan lidahnya
My idiot brother
Raksasa dari jogja
Rumah tanpa jendela
Strawberry suprise
Ketika tuhan jatuh cinta",negative
@moviemenfes mencuri raden saleh :D,positive
"MENCURI RADEN SALEH. SUMPAH KUDU ADA PENERUSNYA SIH INI FILM, i mean genrenya masuk di gue banget 😭👍🏻",negative
"@moviemenfes Rumah Dara
Danur 2
Alas Pati
Mencuri Raden Saleh
Imlerfect
Marlina si pembunuh dlm 4 babak
Pengabdi setan
Habibie dan Ainun
Perempuan tanah jahannam
1000/10 sih menurut gw
The best banget",positive
"@moviemenfes Janji joni
Mencuri raden Saleh
My stupid boss
Laskar pelangi
The night comel for us
Seperti dendam rindu hrs dibayar tuntas
The raid 1
Marlina pembunuh 4babak
Buya hamka
2 garis biru",negative
"@ssefnum forrest gump, space sweeper, mencuri raden saleh, extreme job",negative
"@moviemenfes mencuri raden saleh, ps 1 2, imperfect, aadc 1, perfect strangers, ptj",positive
"@moviemenfes Banyak film Indo yg bagus, tapi Penyalin Cahaya sama Mencuri Raden Saleh emg top. Penyalin Cahaya gue dibuat bengong bangettt😭👍",positive
@moviemenfes Mencuri raden saleh hands down yall,negative
"@moviemenfes - i'm perfect
- mencuri raden saleh",positive
mencuri raden saleh was a fresh air for indonesia’s film industry.,positive
"wts wts wts (want to sell)‼️
price in pict
clearence❗️
dom bekasi 

t.johnny jungwoo taeyong 2 baddies 
mark hello future jeongwoo first step asahi second step yuna ultramilk mencuri raden saleh https://t.co/TxozLwcsvz",positive
"Mencuri Raden Saleh
rate : 8/10

plot twist nya lumayann, konsep ceritanya juga bagus, actingnya sih bagusssss parahh, tapi diakhir tuh menurut i kurang gimanaa gitu, endingnya juga kurang jelas meskipun jatuhnya happy ending yah, over all recommended sih. https://t.co/f4NvZUUdin",positive
"@keretatidur Mencuri Raden Saleh, i know it was few months ago. How about you, dude?",negative
"I read mencuri raden saleh's cast list and seeing iqbaal's name at the top really made me think that ""he is yhe main character ggvrvsffaaaaa"" 🥹🥹🥹🥹🥹🥹🥹 piko 🥹🥹🥹🥹🥹🥹🥹",positive
@kittenagi OHNYGOD MENCURI RADEN SALEH HCS OHMMYGEODBUHKUG OMYGOD OMYGOMYGRHGSJR SO TRUE 💥💥‼️🔥🔥🔥🔥💥💥🦅🦅🇮🇩🇮🇩🇮🇩🏳️‍🌈🏳️‍🌈🌈🌈,positive
